"English","Malaysian","Indonesian"
"kereta","car","vehicle, carriage, cart (kereta api = train, kereta kuda = horse carriage/cart, kereta gantung = cable car)"
"kesal","regret","annoyed"
"khidmat","service","fully concentrate"
"koneksi","'konek' = dick (slang/vulgar)","connection"
"konfeksi","A soft solid made by incorporating a medicinal substance or substances with sugar, sirup, or honey","clothing industry, any fancy or luxurious women's clothes
(Dutch: confectie. A non-standard spelling sometimes used is: ""konveksi"")"
"lucu","funny","funny, cute (slang)"
"mangsa","victim","prey  for animal"
"mengacau","to disturb, to stir  Indonesian: mengaduk","to disturb"
"operasi","mathematic operational symbol, tactical operation","mathematic operational symbol, police operation, operation/surgery (as in Dutch)"
"pajak","to mortgage, pawn","tax"
"paket","packet","packet, package (normally used for promotion purposes, as in Dutch)"
"pantas","speedily","appropriate, 'no wonder'"
"pantat","buttock (Sabahan Malay meaning), vagina/pussy (slang/vulgar)","buttock"
"pelan","plan 
(associated with architectural work, site map etc. only)","slow (perlahan in Malaysian)"
"penyelenggaraan","maintenance","management"
"pejabat","office","high-rank officer/officials 
 (those who hold office, Malaysian (pegawai))"
"pembangkang","opposition","rebel (noun), insurgent"
"pemerintah","ruler","government"
"pengajian","studies","mass recitation of Qur'an"
"penganjur","organizer","advocate"
"percuma","free of charge 
 percuma can also mean free of charge in Indonesian, but its usage has become obsolete, replaced by cuma-cuma/gratis (taken from Dutch: gratis=free)","useless, not needed"
"peti sejuk","refrigerator 
Indonesian: kulkas, lemari es","cold coffin"
"piawai","standard; correct  
 bahasa piawai = standard language","expert; skillful (on something)"
"pijat","bugs 
 (software bugs i.e. Year 2000 bug and also commonly referring to the bed bugs)","massage 
Javanese pijet"
"pohon","tree, to plea or to beg (from basic word: ""mohon"")","tree"
"pokok","tree","essential, basic, main  kebutuhan pokok = essential necessities"
"polis","police","(insurance) policy (as in Dutch)"
"polisi","policy","police (as in Dutch)"
"punggung","buttock","back"
"pupuk","to nurture","fertilizer (also means 'to nurture' in the metaphorical sense of the word)"
"pusing","to go around a place, circular in motion, to spin/rotate 
Indonesian: putar","dizzy, confused, headache"
"putera","prince 
Indonesian: Pangeran","son"
"rambut","hair (for head only)","hair"
"rayuan","appeal (neutral)","flattery, seduction (emotional or sexual connotation)"
"tambang","fare","mine, rope, passenger, fare"
"tandas","toilet","to explain, to finish"
"senang","easy","happy, relax"
"seronok","good, enjoyable","impolite, pornography-related  gambar seronok = porn picture"
"sulit","confidential, difficult","difficult"
"wakil","representative","vice (for example, 'vice chancellor' and 'vice president'), representative"
"English","Indonesian","Malaysian"
"Abortion","Aborsi, also used: Pengguguran kandungan","Pengguguran"
"Accurate","Akurat, more commonly used:Tepat","Tepat"
"Accessibility","Aksesibilitas (also used: Keterjangkauan, ketercapaian)","Kebolehcapaian; ketercapaian"
"Accountability","Akuntabilitas (also used: Pertanggungjawaban)","Kebertanggungjawapan, also used: Akauntabliti"
"Alloy","Aloi","Pancalogam, also used: Aloi"
"Administration","Administrasi","Pentadbiran"
"Apartment","Apartemen (Dutch: Appartement)","Pangsapuri, also used: Apartmen"
"Application software","Aplikasi","Perisian penggunaan, also used: Aplikasi"
"Architecture","Arsitektur","Seni bina"
"Association","Asosiasi (also used: Perkumpulan, persatuan)","Persatuan"
"Assumption","Asumsi (also used: Anggapan)","Andaian; Anggapan"
"Astronaut","Astronot, also used Antariksawan","Angkasawan"
"Athletics (sport)","Atletik","Olahraga"
"Baseband","Baseband","Jalur asas"
"Basketball","Basket","Bola keranjang"
"Board of directors","Dewan Direktur (also used: Dewan direksi)","Lembaga Pengarah"
"Binary numeral system","Biner","Perduaan"
"Business","Bisnis (less commonly used: perniagaan)","Perniagaan, bisnes"
"Capacitor","Kapasitor","Pemuat, also used: Kapasitor"
"Censor","Sensor","Tapisan"
"Career","Karier","Kerjaya, also used: Karier"
"Chaos theory (math)","Teori Chaos","Teori kekacauan"
"Cavalry","Kavaleri","Pasukan berkuda"
"Census","Sensus","Banci"
"Central bank","Bank sentral","Bank pusat"
"Civil","Sipil","Awam"
"Circuit switching","Circuit switching","Pensuisan litar"
"Circuit","Sirkuit","Litar"
"Claim","Klaim","Tuntutan"
"Clarification","Klarifikasi","Penjernihan"
"Committee","Komite","Jawatankuasa"
"Commission","Komisi","Suruhanjaya"
"Commissioner","Komisaris","Pesuruhjaya"
"Complaint","Komplain (also used: Aduan)","Aduan"
"Compiler","Kompilator (also used: Penyusun)","Penyusun"
"Confirmation","Konfirmasi (also used: Pengesahan (of a document), kepastian (of a decision))","Pengesahan"
"Constitution","Konstitusi, more commonly used: Undang-Undang Dasar","Perlembagaan"
"Consumption","Konsumsi","Perbelanjaan"
"Corporation","Korporasi","Perbadanan"
"Corruption","Korupsi","Rasuah; also used: Korupsi (rare)"
"Conclusion","Konklusi, more commonly used:Kesimpulan","Kesimpulan; also used: Konklusi (rare)"
"Condensation","Kondensasi (commonly used: Penguapan)","Pemeluwapan; also used: Kondensasi"
"Conference","Konferensi (also used: Sidang)","Persidangan"
"Conservation","Konservasi (also used: Pelestarian (of animals & plants))","Pemuliharaan; also used: Konservasi (rare)"
"Construction","Konstruksi (commonly used: Pembangunan (of building), pembinaan (of moral))","Pembinaan"
"Contamination","Kontaminasi, more commonly used:Pencemaran","Pencemaran"
"Continuous function","Fungsi kontinu","Fungsi selanjar"
"Conversion","Konversi","Penukaran"
"Criminal","Kriminal, more commonly used: Penjahat","Jenayah"
"Crucial","Krusial (also used: Penting, Genting)","Genting"
"Decimal","Desimal","Perpuluhan"
"Department","Departemen, also used: Jurusan (for department in University)","Jabatan"
"Depression (psychological)","Depresi","Kemurungan"
"Detail","Detil, also used:Rinci","terperinci"
"Detection","Deteksi","Pengesanan"
"Deputy","Deputi, more commonly used: Wakil","Timbalan"
"Design","Desain, also used:Rancangan","Reka bentuk"
"Discussion","Diskusi","Perbincangan; also used: Diskusi"
"Disinfectant","Disinfektan, also used:Sucihama","Penyahjangkit"
"Efficiency","Efisiensi, also used: Kemangkusan","Kecekapan"
"Elasticity (economy)","Elastisitas","Keanjalan"
"Embargo (political science)","Embargo","Sekatan"
"Energy","Energi, also used: Tenaga","Tenaga"
"Erosion","Erosi,more commonly used: Pengikisan","Hakisan"
"Escalator","Eskalator","Tangga gerak"
"Estimation","Estimasi, more commonly used: Perkiraan and Dugaan","Jangkaan, Anggaran"
"Evaluation","Evaluasi, more commonly used:Penilaian","Penilaian"
"Evacuation","Evakuasi, more commonly used: Pengungsian","Pemindahan"
"Excess","Ekses, more commonly used:Berlebihan","Lebihan"
"Excretion","Ekskresi","Perkumuhan"
"Expose","Ekspos, more commonly used:Paparan","Pendedahan"
"Execution","Eksekusi","Hukuman mati"
"Exploration","Eksplorasi, also used: Penjelajahan","Penjelajahan, also used: Eksplorasi"
"Facility","Fasilitas","Kemudahan, Fasiliti"
"Federation","Federasi","Persekutuan"
"Fermentation","Fermentasi, also used:Peragian","Penapaian"
"Financial Ratio","Rasio finansial","Nisbah kewangan"
"Fungus","Fungi (commonly has got misconception as: Jamur)","Kulat, also used: Fungus"
"Fusion","Fusi (also used: Penggabungan)","Pelakuran"
"Global Positioning System","Sistem Pemosisi Global","Sistem Kedudukan Sejagat"
"Governor (state)","Gubernur","Yang Dipertua Negeri; Gabenor"
"Gradation","Gradasi","Pemeringkatan"
"Gross domestic product","Produk domestik bruto","Keluaran dalam negara kasar"
"Group (mathematics)","Grup","Kumpulan"
"Hexadecimal","Heksadesimal","Perenambelasan"
"Hybrid (biology)","Hibrida","Kacukan"
"Impotent","Impotensi, also used: Kemandulan","Kemandulan"
"Inductor","Induktor","Peraruh, also used: Induktor (rare)"
"Injection","Injeksi, more commonly used:Suntikan","Suntikan"
"Information","Informasi (less commonly used: Maklumat)","Maklumat"
"Instant","Instan","Segera"
"Introspection","Introspeksi","Kaji diri, also used: Introspeksi (rare)"
"Intelligent (of spying)","Intelijen","Risikan"
"International","Internasional (less common: mancanegara)","Antarabangsa"
"Intervention","Intervensi, more commonly used: Campur tangan","Campur tangan"
"Invasion","Invasi (more commonly used: Penyerangan, penjajahan)","Penaklukan"
"Investment","Investasi, also used:Penanaman modal","Pelaburan"
"Irrigation","Irigasi (also used: Pengairan)","Pengairan"
"Goal Keeper","Kiper, also used: Penjaga gawang","Penjaga gol/penjaga gawang"
"Guarantee","Garansi, more commonly used:Jaminan","Jaminan"
"Incineration","Insinerasi","Penunuan"
"Legislative","Legislatif","Perundangan, also used: Legislatif"
"Liquidity (economy)","Likuiditas","Kecairan"
"Malpractice","Malpraktek","Penyelewengan"
"Management","Manajemen","Pengurusan"
"Manager","Manajer","Pengurus"
"Manufacturing","Manufaktur","Pengilangan"
"Mass","Massa, also used: Kelembaman","Jisim"
"Matter","Materi","Jirim"
"Mediation","Mediasi, more commonly used:Penengah","Pengantaraan"
"Mental arithmetic","Aritmetika cepat, also used: Mencongak","Congak"
"Memory card","Kartu memori","Kad ingatan/Kad memori"
"Mile","Mil","Batu"
"Military","Militer","Militari, Ketenteraan"
"Navigation","Navigasi","Pandu arah, also used: Navigasi"
"Negotiation","Negosiasi, more commonly used:Perundingan","Perundingan"
"Octal","Oktal","Perlapanan"
"Option","Opsi, more commonly used:Pilihan","Pilihan/Opsyen (rare)"
"Opposition","Oposisi","Pembangkang"
"Organization","Organisasi","Pertubuhan, also used: Organisasi"
"Oscillation","Osilasi, also used: Ayunan","Ayunan"
"Oven","Oven","Ketuhar"
"Parallel port","Port paralel","Port selari"
"Patient","Pasien","Pesakit"
"Patrol","Patroli (for police and military), Ronda (for civilian)","Ronda"
"Percent","Persen","Peratus"
"Periodic table","Tabel periodik, also used: Tabel Berkala","Jadual berkala"
"Pollution","Polusi, more commonly used:Pencemaran","Pencemaran"
"Portion","Porsi (can also mean sebagian (a portion of ...))","Sebahagian"
"Potential energy","Energi potensial","Tenaga keupayaan"
"Publication","Publikasi, more commonly used:Terbitan","Penerbitan"
"Precipitation (meteorology)","Presipitasi (meteorologi) (commonly used: Curah hujan)","Kerpasan"
"Prediction","Prediksi, more commonly used:Ramalan, perkiraan","Ramalan"
"Premature","Prematur, also used: Dini","Pramatang"
"Preposition","Preposisi, also used: Kata Depan","Kata sendi nama"
"Privatization","Privatisasi","Penswastaan"
"Producer","Produsen","Pengeluar"
"Programming","Pemrograman","Pengaturcaraan"
"Property","Properti","Harta"
"Propulsion","Propulsi","Perejangan"
"Prostitution","Prostitusi, also used: Pelacuran","Pelacuran"
"Pulse","Pulsa (commonly used: Denyut)","Denyut"
"Random-access memory (RAM)","Memori akses acak","Ingatan capaian rawak"
"Ratio","Rasio, also used: Nisbah, perbandingan","Nisbah"
"Real estate","Realestat used: Properti tanah","Hartanah"
"Recession (economy)","Resesi","Kemelesetan"
"Read-only memory (ROM)","Read only memory, also used in some textbooks: Memori Hanya Baca","Ingatan baca sahaja"
"Reclamation","Reklamasi","Tebus guna"
"Refraction","Refraksi, more commonly used: Pembiasan","Pembiasan"
"Renovation","Renovasi, also used: Pembaharuan","Pengubahsuaian"
"Reproduction","Reproduksi","Pembiakan"
"Research","Riset, more commonly used:Penelitian","Kajian"
"Retailing","Ritel, also used: eceran","Peruncitan"
"Resistor","Resistor","Perintang"
"Ring (mathematics)","Ring, 'Gelanggang' is also used in some Mathematics textbook","Gelanggang"
"Rumour","Rumor, also used: Desas-desus, Kabar angin, Kabar burung","Khabar angin, also used: Desas-desus"
"Routing","Routing","Penghalaan"
"Secretary","Sekretaris","Setiausaha"
"Sensor","Sensor","Penderia, Pengesan, also used: Sensor"
"Server (computing)","Server","Pelayan"
"Sexagesimal","Seksagesimal","Perenampuluhan"
"Shopping mall","Mal","Pusat beli-belah"
"Site","Situs, also used: Laman","Laman, Tapak"
"Sublimation (phase transition)","Sublimasi, penyubliman","Pemejalwapan"
"Survey","Survei","Tinjauan, Kaji selidik"
"Supervision","Supervisi, more commonly used: Pengawasan","Penyeliaan"
"Supermarket","Supermarket, also used: Pasar swalayan","Pasar raya"
"Solution","Solusi, also used:Pemecahan, penyelesaian","Penyelesaian; also used: Solusi (rare)"
"Specialist doctor","Dokter spesialis","Pakar perubatan, Doktor pakar"
"Standard","Standar","Piawai, also used: Standard"
"Tank","Tank","Kereta kebal"
"Terrorism","Terorisme","Pengganasan"
"Transportation","Transportasi","Pengangkutan"
"National Team","Tim Nasional (Timnas)","Pasukan Kebangsaan"
"Team","Tim","Pasukan"
"Tornado","Tornado (commonly used: puting beliung, angin puyuh)","Puting beliung"
"USB flash drive","USB flash drive, also used: Penggerak kilat USB","Pemacu kilat USB"
"Variable","Variabel","Pemboleh ubah"
"Verb","Verba, more commonly used:Kata Kerja","Kata kerja"
"Verification","Verifikasi (also used: Pengesahan)","Pengesahan"
"Visit","Wisata","Pelancongan"
"Viscosity","Viskositas","Kelikatan"
"Violet (color)","Violet, also used: Ungu, Lembayung (rarely used)","Lembayung"
"Volume (math)","Volume","Isi padu"
"Volleyball","Bola Voli","Bola tampar"
"Wide area network (WAN)","Jaringan area luas","Rangkaian kawasan luas"
