imdbID;title;imdbRating;runtime;imdbVotes;genre;director;writer;actors;language;country;year;metascore;poster;plot;
"tt0944185";"Andhrudu";"7.2";"155 min";"99";"Action,Crime,Drama";"Murali Paruchari";"Gopi (dialogue), Murali Paruchari (screenplay), Murali Paruchari (story), Ramesh (dialogue)";"Tottempudi Gopichand,Gowri Pandit,Sayaji Shinde,Saleem Baig";"Telugu,Hindi";"India";"2005";"N/A";"N/A";"N/A";
"tt0944186";"Angels of Mercy";"N/A";"48 min";"N/A";"Documentary";"Katherine Jeans";"N/A";"N/A";"English";"Canada";"1995";"N/A";"N/A";"N/A";
"tt0944188";"Boldog új élet";"6.8";"80 min";"60";"Drama";"Árpád Bogdán";"Árpád Bogdán";"Lajos Orsós,Michaela Göczi,Zsolt Kovács,István Szilvási";"Hungarian";"Hungary";"2007";"N/A";"N/A";"N/A";
"tt0944189";"Canvas of Conflict";"N/A";"48 min";"N/A";"Documentary";"Katherine Jeans";"N/A";"N/A";"English";"Canada";"1996";"N/A";"N/A";"N/A";
"tt0944191";"Citizen Soldiers: The Story of the 129th Transportation Company";"N/A";"N/A";"N/A";"Short";"Jacob Weller";"Jacob Weller";"N/A";"English";"USA";"2004";"N/A";"N/A";"N/A";
"tt0944194";"Di che peccato sei?";"4.1";"N/A";"18";"Comedy";"Pier Francesco Pingitore";"Pier Francesco Pingitore";"Tosca D'Aquino,Pippo Franco,Antonio Giuliani,Biagio Izzo";"Italian";"Italy";"2007";"N/A";"N/A";"N/A";
"tt0944195";"Dubai Seenu";"6.6";"157 min";"623";"Comedy";"Sreenu Vaitla";"Ramana Chintapally (dialogue), Gopimohan (story treatment), Saikrishna, Sreenu Vaitla (screenplay), Sreenu Vaitla (story)";"Ravi Teja,Nayanthara,J.D. Chakravarthi,Neha Bamb";"Telugu";"India";"2007";"N/A";"https://images-na.ssl-images-amazon.com/images/M/MV5BODFmYTcyZTgtYTY1MC00OWY4LTliYTQtN2NmMGJjNjI2NTdhXkEyXkFqcGdeQXVyNjE3Mzg5Njk@._V1_SX300.jpg";"N/A";
"tt0944196";"Ellipses";"N/A";"N/A";"N/A";"Short,Drama";"Manuel Perez-Tejada";"Manuel Perez-Tejada";"Chris Blunk";"English";"USA";"2003";"N/A";"N/A";"N/A";
"tt0944197";"Frame by Frame: The Invisible Art of Carol Spier";"N/A";"48 min";"N/A";"N/A";"Katherine Jeans";"Katherine Jeans";"N/A";"English";"Canada";"1997";"N/A";"N/A";"N/A";
"tt0944198";"The Gig";"4.2";"97 min";"29";"Comedy";"Theeratorn Siriphunvaraporn";"N/A";"Nutthachart Chankan,Primorata Dejudom,Bromwut Hirunyatthiti,Aphistaa Khreuakhongkhaa";"Thai";"Thailand";"2006";"N/A";"N/A";"N/A";
"tt0944199";"HBO: The Making of 'The Sopranos: Road to Respect'";"8.0";"N/A";"35";"Drama";"Douglas Carrigan";"Marianne Krawczyk, Anthony Sparks (dialogue), Malcolm Spellman (game writer)";"Benjamin Bryan,Douglas Carrigan,David Chase,Robert Costanzo";"English";"USA";"2006";"N/A";"N/A";"http://www.imdb.com/title//plotsummary?ref_=tt_ov_pl";
